       table_name        |         column_name         |          data_type          | is_nullable 
-------------------------+-----------------------------+-----------------------------+-------------
 alembic_version         | version_num                 | character varying           | NO
 alembic_version_user    | version_num                 | character varying           | NO
 business_units          | id                          | character varying           | NO
 business_units          | location_id                 | character varying           | NO
 business_units          | name                        | character varying           | NO
 business_units          | code                        | character varying           | NO
 business_units          | type                        | character varying           | YES
 business_units          | cost_center_code            | character varying           | YES
 business_units          | budget_monthly              | numeric                     | YES
 business_units          | budget_alert_threshold      | numeric                     | YES
 business_units          | manager_contact             | jsonb                       | YES
 business_units          | ordering_permissions        | jsonb                       | NO
 business_units          | allowed_suppliers           | jsonb                       | YES
 business_units          | blocked_categories          | jsonb                       | YES
 business_units          | max_order_value             | numeric                     | YES
 business_units          | requires_approval           | boolean                     | NO
 business_units          | approval_threshold          | numeric                     | YES
 business_units          | extra_data                  | jsonb                       | NO
 business_units          | notes                       | text                        | YES
 business_units          | is_active                   | boolean                     | NO
 business_units          | created_by                  | character varying           | NO
 business_units          | updated_by                  | character varying           | YES
 business_units          | createdAt                   | timestamp with time zone    | NO
 business_units          | updatedAt                   | timestamp with time zone    | NO
 customer_companies      | id                          | character varying           | NO
 customer_companies      | group_id                    | character varying           | YES
 customer_companies      | name                        | character varying           | NO
 customer_companies      | legal_name                  | character varying           | YES
 customer_companies      | tax_id                      | character varying           | NO
 customer_companies      | tax_id_type                 | character varying           | NO
 customer_companies      | billing_address             | jsonb                       | NO
 customer_companies      | billing_contact             | jsonb                       | NO
 customer_companies      | billing_email               | character varying           | YES
 customer_companies      | payment_terms               | character varying           | YES
 customer_companies      | credit_limit                | numeric                     | YES
 customer_companies      | legacy_organization_id      | character varying           | YES
 customer_companies      | settings                    | jsonb                       | NO
 customer_companies      | extra_data                  | jsonb                       | NO
 customer_companies      | notes                       | text                        | YES
 customer_companies      | is_active                   | boolean                     | NO
 customer_companies      | created_by                  | character varying           | NO
 customer_companies      | updated_by                  | character varying           | YES
 customer_companies      | createdAt                   | timestamp with time zone    | NO
 customer_companies      | updatedAt                   | timestamp with time zone    | NO
 customer_groups         | id                          | character varying           | NO
 customer_groups         | name                        | character varying           | NO
 customer_groups         | code                        | character varying           | YES
 customer_groups         | description                 | text                        | YES
 customer_groups         | extra_data                  | jsonb                       | NO
 customer_groups         | notes                       | text                        | YES
 customer_groups         | is_active                   | boolean                     | NO
 customer_groups         | created_by                  | character varying           | NO
 customer_groups         | updated_by                  | character varying           | YES
 customer_groups         | createdAt                   | timestamp with time zone    | NO
 customer_groups         | updatedAt                   | timestamp with time zone    | NO
 customer_locations      | id                          | character varying           | NO
 customer_locations      | company_id                  | character varying           | NO
 customer_locations      | name                        | character varying           | NO
 customer_locations      | code                        | character varying           | YES
 customer_locations      | address                     | jsonb                       | NO
 customer_locations      | city                        | character varying           | YES
 customer_locations      | delivery_contact            | jsonb                       | NO
 customer_locations      | delivery_phone              | character varying           | YES
 customer_locations      | delivery_instructions       | text                        | YES
 customer_locations      | operating_hours             | jsonb                       | YES
 customer_locations      | coordinates                 | jsonb                       | YES
 customer_locations      | timezone                    | character varying           | YES
 customer_locations      | extra_data                  | jsonb                       | NO
 customer_locations      | notes                       | text                        | YES
 customer_locations      | is_active                   | boolean                     | NO
 customer_locations      | created_by                  | character varying           | NO
 customer_locations      | updated_by                  | character varying           | YES
 customer_locations      | createdAt                   | timestamp with time zone    | NO
 customer_locations      | updatedAt                   | timestamp with time zone    | NO
